Running with JAX backend on cpu:0

========================================
       MHW MODEL CONFIGURATION
========================================
Domain:      64.0 x 64.0
Resolution:  256 x 256 (dx=0.2500, dy=0.2500)
Time Step:   dt = 0.0025
----------------------------------------
Physics:     Alpha = 1.0
             Kappa = 1.0
----------------------------------------
Dissipation: order = 6
             nu_w  = 0.001
             nu_n  = 0.001
----------------------------------------
Flags:       Modified HW = True
             Arakawa     = True
========================================


--- Starting Production Run (HDF5 Output) ---
Frames: 1000, Steps/Frame: 400, Total Steps: 400000
Solver: rk4
Writing Frame 0/1000...
Writing Frame 236/1000 | Energy: 9.1055e+00
Writing Frame 237/1000 | Energy: 9.2206e+00
Writing Frame 238/1000 | Energy: 9.3364e+00
Writing Frame 239/1000 | Energy: 9.4531e+00
Writing Frame 240/1000 | Energy: 9.5711e+00
Writing Frame 241/1000 | Energy: 9.6906e+00
Writing Frame 242/1000 | Energy: 9.8118e+00
Writing Frame 243/1000 | Energy: 9.9345e+00
Writing Frame 244/1000 | Energy: 1.0058e+01
Writing Frame 245/1000 | Energy: 1.0183e+01
Writing Frame 246/1000 | Energy: 1.0307e+01
Writing Frame 247/1000 | Energy: 1.0431e+01
Writing Frame 248/1000 | Energy: 1.0553e+01
Writing Frame 249/1000 | Energy: 1.0675e+01
Writing Frame 250/1000 | Energy: 1.0795e+01
Writing Frame 251/1000 | Energy: 1.0914e+01
Writing Frame 252/1000 | Energy: 1.1034e+01
Writing Frame 253/1000 | Energy: 1.1154e+01
Writing Frame 254/1000 | Energy: 1.1274e+01
Writing Frame 255/1000 | Energy: 1.1395e+01
Writing Frame 256/1000 | Energy: 1.1516e+01
Writing Frame 257/1000 | Energy: 1.1640e+01
Writing Frame 258/1000 | Energy: 1.1765e+01
Writing Frame 259/1000 | Energy: 1.1891e+01
Writing Frame 260/1000 | Energy: 1.2019e+01
Writing Frame 261/1000 | Energy: 1.2147e+01
Writing Frame 262/1000 | Energy: 1.2274e+01
Writing Frame 263/1000 | Energy: 1.2400e+01
Writing Frame 264/1000 | Energy: 1.2524e+01
Writing Frame 265/1000 | Energy: 1.2647e+01
Writing Frame 266/1000 | Energy: 1.2770e+01
Writing Frame 267/1000 | Energy: 1.2894e+01
Writing Frame 268/1000 | Energy: 1.3020e+01
Writing Frame 269/1000 | Energy: 1.3148e+01
Writing Frame 270/1000 | Energy: 1.3277e+01
Writing Frame 271/1000 | Energy: 1.3406e+01
Writing Frame 272/1000 | Energy: 1.3533e+01
Writing Frame 273/1000 | Energy: 1.3660e+01
Writing Frame 274/1000 | Energy: 1.3786e+01
Writing Frame 275/1000 | Energy: 1.3914e+01
Writing Frame 276/1000 | Energy: 1.4042e+01
Writing Frame 277/1000 | Energy: 1.4172e+01
Writing Frame 278/1000 | Energy: 1.4303e+01
Writing Frame 279/1000 | Energy: 1.4434e+01
Writing Frame 280/1000 | Energy: 1.4566e+01
Writing Frame 281/1000 | Energy: 1.4697e+01
Writing Frame 282/1000 | Energy: 1.4829e+01
Writing Frame 283/1000 | Energy: 1.4963e+01
Writing Frame 284/1000 | Energy: 1.5099e+01
Writing Frame 285/1000 | Energy: 1.5236e+01
Writing Frame 286/1000 | Energy: 1.5375e+01
Writing Frame 287/1000 | Energy: 1.5515e+01
Writing Frame 288/1000 | Energy: 1.5657e+01
Writing Frame 289/1000 | Energy: 1.5800e+01
Writing Frame 290/1000 | Energy: 1.5944e+01
Writing Frame 291/1000 | Energy: 1.6089e+01
Writing Frame 292/1000 | Energy: 1.6236e+01
Writing Frame 293/1000 | Energy: 1.6384e+01
Writing Frame 294/1000 | Energy: 1.6532e+01
Writing Frame 295/1000 | Energy: 1.6679e+01
Writing Frame 296/1000 | Energy: 1.6825e+01
Writing Frame 297/1000 | Energy: 1.6972e+01
Writing Frame 298/1000 | Energy: 1.7119e+01
Writing Frame 299/1000 | Energy: 1.7268e+01
Writing Frame 300/1000 | Energy: 1.7418e+01
Writing Frame 301/1000 | Energy: 1.7571e+01
Writing Frame 302/1000 | Energy: 1.7727e+01
Writing Frame 303/1000 | Energy: 1.7885e+01
Writing Frame 304/1000 | Energy: 1.8045e+01
Writing Frame 305/1000 | Energy: 1.8207e+01
Writing Frame 306/1000 | Energy: 1.8369e+01
Writing Frame 307/1000 | Energy: 1.8529e+01
Writing Frame 308/1000 | Energy: 1.8686e+01
Writing Frame 309/1000 | Energy: 1.8841e+01
Writing Frame 310/1000 | Energy: 1.8995e+01
Writing Frame 311/1000 | Energy: 1.9148e+01
Writing Frame 312/1000 | Energy: 1.9301e+01
Writing Frame 313/1000 | Energy: 1.9454e+01
Writing Frame 314/1000 | Energy: 1.9608e+01
Writing Frame 315/1000 | Energy: 1.9763e+01
Writing Frame 316/1000 | Energy: 1.9919e+01
Writing Frame 317/1000 | Energy: 2.0076e+01
Writing Frame 318/1000 | Energy: 2.0235e+01
Writing Frame 319/1000 | Energy: 2.0395e+01
Writing Frame 320/1000 | Energy: 2.0558e+01
Writing Frame 321/1000 | Energy: 2.0723e+01
Writing Frame 322/1000 | Energy: 2.0890e+01
Writing Frame 323/1000 | Energy: 2.1058e+01
Writing Frame 324/1000 | Energy: 2.1228e+01
Writing Frame 325/1000 | Energy: 2.1400e+01
