Running with JAX backend on cpu:0

========================================
       MHW MODEL CONFIGURATION
========================================
Domain:      64.0 x 64.0
Resolution:  256 x 256 (dx=0.2500, dy=0.2500)
Time Step:   dt = 0.0025
----------------------------------------
Physics:     Alpha = 0.22
             Kappa = 1.0
----------------------------------------
Dissipation: order = 6
             nu_w  = 0.001
             nu_n  = 0.001
----------------------------------------
Flags:       Modified HW = True
             Arakawa     = True
========================================


--- Starting Production Run (HDF5 Output) ---
Frames: 1000, Steps/Frame: 400, Total Steps: 400000
Solver: rk4
Writing Frame 0/1000...
Writing Frame 458/1000 | Energy: 3.2019e+02
Writing Frame 459/1000 | Energy: 3.2150e+02
Writing Frame 460/1000 | Energy: 3.2280e+02
Writing Frame 461/1000 | Energy: 3.2406e+02
Writing Frame 462/1000 | Energy: 3.2527e+02
Writing Frame 463/1000 | Energy: 3.2645e+02
Writing Frame 464/1000 | Energy: 3.2764e+02
Writing Frame 465/1000 | Energy: 3.2885e+02
Writing Frame 466/1000 | Energy: 3.3009e+02
Writing Frame 467/1000 | Energy: 3.3139e+02
Writing Frame 468/1000 | Energy: 3.3275e+02
Writing Frame 469/1000 | Energy: 3.3413e+02
Writing Frame 470/1000 | Energy: 3.3546e+02
Writing Frame 471/1000 | Energy: 3.3675e+02
Writing Frame 472/1000 | Energy: 3.3801e+02
Writing Frame 473/1000 | Energy: 3.3924e+02
Writing Frame 474/1000 | Energy: 3.4046e+02
Writing Frame 475/1000 | Energy: 3.4170e+02
Writing Frame 476/1000 | Energy: 3.4295e+02
Writing Frame 477/1000 | Energy: 3.4419e+02
Writing Frame 478/1000 | Energy: 3.4545e+02
Writing Frame 479/1000 | Energy: 3.4678e+02
Writing Frame 480/1000 | Energy: 3.4822e+02
Writing Frame 481/1000 | Energy: 3.4975e+02
Writing Frame 482/1000 | Energy: 3.5134e+02
Writing Frame 483/1000 | Energy: 3.5292e+02
Writing Frame 484/1000 | Energy: 3.5445e+02
Writing Frame 485/1000 | Energy: 3.5596e+02
Writing Frame 486/1000 | Energy: 3.5746e+02
Writing Frame 487/1000 | Energy: 3.5898e+02
Writing Frame 488/1000 | Energy: 3.6052e+02
Writing Frame 489/1000 | Energy: 3.6205e+02
Writing Frame 490/1000 | Energy: 3.6349e+02
Writing Frame 491/1000 | Energy: 3.6482e+02
Writing Frame 492/1000 | Energy: 3.6611e+02
Writing Frame 493/1000 | Energy: 3.6743e+02
Writing Frame 494/1000 | Energy: 3.6879e+02
Writing Frame 495/1000 | Energy: 3.7017e+02
Writing Frame 496/1000 | Energy: 3.7153e+02
Writing Frame 497/1000 | Energy: 3.7288e+02
Writing Frame 498/1000 | Energy: 3.7425e+02
Writing Frame 499/1000 | Energy: 3.7565e+02
Writing Frame 500/1000 | Energy: 3.7706e+02
Writing Frame 501/1000 | Energy: 3.7846e+02
Writing Frame 502/1000 | Energy: 3.7985e+02
Writing Frame 503/1000 | Energy: 3.8120e+02
Writing Frame 504/1000 | Energy: 3.8252e+02
Writing Frame 505/1000 | Energy: 3.8381e+02
